sample_name,file,l_asx_area,l_asx_meas_ret_time,d_asx_area,d_asx_meas_ret_time,l_glu_area,l_glu_meas_ret_time,d_glu_area,d_glu_meas_ret_time,l_ser_area,l_ser_meas_ret_time,d_ser_area,d_ser_meas_ret_time,l_thr_area,l_thr_meas_ret_time,l_his_area,l_his_meas_ret_time,gly_area,gly_meas_ret_time,l_arg_area,l_arg_meas_ret_time,d_arg_area,d_arg_meas_ret_time,l_ala_area,l_ala_meas_ret_time,lh_arg_area,lh_arg_meas_ret_time,d_ala_area,d_ala_meas_ret_time,l_tyr_area,l_tyr_meas_ret_time,l_val_area,l_val_meas_ret_time,l_met_area,l_met_meas_ret_time,d_met_area,d_met_meas_ret_time,d_val_area,d_val_meas_ret_time,l_phe_area,l_phe_meas_ret_time,l_ile_area,l_ile_meas_ret_time,d_phe_area,d_phe_meas_ret_time,l_leu_area,l_leu_meas_ret_time,d_ile_area,d_ile_meas_ret_time,d_leu_area,d_leu_meas_ret_time,x53,x54,x55,x56,x57,file_name
15598bF,G1067 2022-10-27 12-03-40-2152.xls,3909.33,17.36,2945.37,18.37,799.45,25.91,352.43,27.71,735.8,29.3,759.68,31.6,820.92,37.05,77.53,37.93,1827.74,39.05,688.38,44.27,643.79,45.75,2299.28,46.95,915.56,49.08,1762.54,51.16,334.02,55.06,1042.67,65.67,87.3,67.18,NA,NA,482.34,73.31,405.68,75.14,720.7,75.94,289.18,78.74,836.84,82.24,414.89,83.93,544.98,86.83,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15599bF,G1067 2022-10-27 12-03-40-2227.xls,2028.15,18.04,1585.96,18.91,409.32,26.76,353.84,28.55,56.05,29.33,32.52,31.63,42.93,37.12,33.13,37.91,1243.21,39.07,36.61,44.24,98.74,45.73,1122.82,46.99,690.64,49.06,1232.44,51.2,25.68,55.12,366.42,65.82,60.38,67.27,NA,NA,356.13,73.44,191.99,75.24,353.06,76.1,193.75,78.83,344.54,82.35,359.89,84.07,337.8,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15599bF,G1067 2022-10-27 12-03-40-2253.xls,2125.55,17.34,1712.72,18.35,419.9,25.9,372.16,27.7,64.85,29.3,35.93,31.59,45.57,37.06,36.32,37.91,1256.22,39.03,43.4,44.22,70.79,45.71,1214.52,46.92,765.99,49.06,1322.41,51.13,22.48,55.02,399.28,65.67,64.68,67.18,NA,NA,382.62,73.31,190.28,75.14,357.09,75.94,173.74,78.75,370.67,82.25,393.28,83.94,383.44,86.85,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15600bF,G1067 2022-10-27 12-03-40-2328.xls,2697.77,18.02,2179.49,18.89,493.23,26.75,348.87,28.54,184.98,29.32,184.46,31.63,288.6,37.1,41.59,37.95,1183.68,39.09,182.75,44.26,178.34,45.75,1365.96,47.01,861.34,49.08,1334.24,51.22,69.66,55.2,535.14,65.83,58.35,67.29,NA,NA,343.37,73.46,275.77,75.26,451.01,76.13,234.98,78.86,439.18,82.38,358.33,84.1,398.94,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15600bF,G1067 2022-10-27 12-03-40-2354.xls,2810.34,17.35,2312.87,18.36,501.49,25.91,365.6,27.71,194.04,29.3,187.39,31.6,260.88,37.04,79.72,38.14,1124.58,39.04,182.07,44.24,806.92,46.07,1418.76,46.93,898.11,49.07,1359.81,51.14,57.23,54.97,546.35,65.67,21.66,67.18,NA,NA,339.44,73.3,260.32,75.13,457.63,75.93,216.64,78.73,487.41,82.23,359.06,83.92,361.12,86.83,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
2M-blbk-121022,G1067 2022-10-27 12-03-40-2429.xls,16.4,17.79,3.22,18.87,3.35,26.73,NA,NA,53.49,29.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.67,49.08,NA,NA,NA,NA,6.8,65.09,NA,NA,7.83,71.06,NA,NA,11.4,75.37,6.04,76.79,NA,NA,25.32,82.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
2M-blbk-121022,G1067 2022-10-27 12-03-40-2455.xls,5.69,17.01,2.7,18.17,NA,NA,NA,NA,10.29,29.29,NA,NA,NA,NA,NA,NA,43.78,39.06,NA,NA,NA,NA,NA,NA,1258.89,49.08,NA,NA,8.68,55.1,3.52,65.04,NA,NA,4.41,71.03,8.47,74.72,NA,NA,5.96,76.77,NA,NA,4.36,81.38,NA,NA,31.43,86.01,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
0.2 std,G1067 2022-10-27 12-03-40-9102.xls,10245.14,16.8,2155.05,18.01,7117.91,25.72,1497.23,27.54,10154.07,29.18,2271.6,31.48,10084.58,36.83,4417.39,37.86,3278.23,38.94,11438.2,44.44,2088.14,46.02,10439,47.13,1434.66,49.4,2787.62,51.27,14559.08,55.24,12155.53,65.62,10356.09,66.98,2459.64,71.54,2727.9,73.18,10790.74,74.93,10466.87,75.7,2406.5,78.55,7135.06,81.99,2420.36,83.7,1681.44,86.59,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
0.2 std,G1067 2022-10-27 12-03-40-9125.xls,9699.01,17.75,2039.78,18.91,6769.19,26.7,1433.54,28.53,10093.18,29.27,2284.98,31.63,9859.77,37.09,4781.7,37.88,4817.88,39.12,9545.37,44.24,1910.12,45.73,10677.6,46.97,1278.24,49.07,2838.48,51.07,13186.18,55.09,11859.19,65.77,9906.01,67.05,2375.61,71.7,2656.63,73.44,10303.2,75.18,10331.34,76.05,2276.17,78.83,7146.8,82.32,2341.44,84.08,1665.62,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
0.2 std,G1067 2022-10-27 12-03-40-9145.xls,13406.19,17.8,2843.77,18.65,9523.2,26.71,2033.92,28.59,13885.27,29.32,3141.83,31.7,13684.53,37.14,6294.27,37.97,6150.45,39.24,13121.4,44.33,2695.91,45.78,14750.65,47.01,1808.34,49.13,3977.53,51.14,18361.15,55.11,16779.83,65.79,13824.82,67.07,3329.36,71.73,3748.74,73.47,14274.14,75.2,14455.88,76.07,3173.41,78.88,10047.04,82.35,3344.54,84.11,2401.28,87,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
0.5 std,G1067 2022-10-27 12-03-40-9203.xls,2629.22,16.86,1355.21,18.05,2017.71,25.74,1042.76,27.56,2688.54,29.23,1427.11,31.53,2595.03,36.94,1280.19,37.85,1015.43,39.02,3193.64,44.33,1295.19,45.82,2844.46,46.96,739.24,49.13,1612.81,51.02,3556.28,55.04,3281.45,65.58,2495.13,66.93,1395.72,71.52,1753.77,73.22,2975.87,75.02,3254.25,75.85,1610.22,78.62,2581.54,82.11,1765.4,83.83,1377.62,86.71,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
0.5 std,G1067 2022-10-27 12-03-40-9214.xls,2766.13,17.66,1429.72,18.88,2108.71,26.6,1100.95,28.42,2829.05,29.29,1516.21,31.61,2769.09,37.08,1438.32,37.85,3939.76,39.36,2801.79,44.18,1359.72,45.67,2999.34,46.92,771.2,48.99,1721.29,50.97,3774.58,55.03,3500.04,65.71,2655.96,67.02,1488.13,71.63,1867.43,73.36,3186.72,75.15,3484.58,76.01,1726.11,78.77,2771.21,82.28,1881.57,84.01,1470.72,86.9,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
0.5 std,G1067 2022-10-27 12-03-40-9235.xls,3134.68,17.76,1620.41,18.78,2542.08,26.7,1331.41,28.53,3194.78,29.29,1709.16,31.62,3131.35,37.1,1650.83,37.89,4459.04,39.41,3145.96,44.22,1538.07,45.71,3415.64,46.98,876.73,49.06,1942.56,51.05,4249.65,55.12,3918.87,65.81,3000.35,67.1,1685.01,71.72,2086.74,73.45,3526.87,75.24,3781.21,76.11,1910.04,78.86,2943.79,82.38,2051.78,84.1,1560.55,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
0.5 std,G1067 2022-10-27 12-03-40-9256.xls,4055.75,17,2091.16,18.2,3318.45,25.84,1731.28,27.68,4144.61,29.27,2216.75,31.59,4036.41,37.04,2012.21,37.87,5676.06,39.37,4935.1,44.22,1971.81,45.71,4398.3,46.91,1132.32,49.06,2471.21,50.98,5453.86,55,5042.15,65.61,3846.25,66.99,2137.48,71.6,2687,73.28,4498.86,75.1,4890.85,75.9,2450.55,78.72,3791.36,82.2,2662.09,83.91,2012.63,86.82,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15559bH*,G1069 2022-11-04 13-28-14-0104.xls,4727.82,17.24,1563.72,18.35,1246.27,25.71,319.99,27.53,540.06,29.4,244.11,31.78,600.18,37.33,55.75,38.17,1293.5,39.44,437.88,44.52,213.01,46.02,1146.16,47.3,861.75,49.37,567.96,51.45,39.86,55.31,737.78,65.87,176.39,67.4,NA,NA,187.78,73.52,297.01,75.35,604.3,76.12,119.26,78.95,473.45,82.43,219.1,84.1,186.54,87.02,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15559bH*,G1069 2022-11-04 13-28-14-0119.xls,5584.04,17.19,1853.1,18.28,1470.48,25.68,379.16,27.5,637.11,29.37,291.43,31.74,715.4,37.21,67.52,38,1501.99,39.25,514.8,44.33,300.86,45.83,1352.72,47.09,1043.81,49.15,663.61,51.24,40.66,55.15,849.05,65.75,200.52,67.31,NA,NA,207.02,73.43,345.57,75.28,710.52,76.04,136.87,78.9,571.4,82.38,246.66,84.06,217.86,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15560bH*,G1069 2022-11-04 13-28-14-0205.xls,5258.23,17.26,1937.74,18.36,1478.33,25.73,396.35,27.56,569.35,29.42,253.14,31.81,600.98,37.31,64.47,38.13,2249.9,39.37,350.62,44.43,234.94,45.93,1306.33,47.22,842.63,49.28,669.4,51.39,13.54,55.23,1157.8,65.86,192.86,67.42,NA,NA,221.29,73.51,456.98,75.35,806.93,76.11,127.79,78.97,716.65,82.44,201.4,84.11,206.99,87.04,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15560bH*,G1069 2022-11-04 13-28-14-0220.xls,6092.49,17.2,2244.45,18.29,1706.37,25.69,458.5,27.53,659.77,29.39,295.59,31.76,705.7,37.23,82.14,38.03,2483.75,39.27,413.12,44.35,166.42,45.86,1517.29,47.11,1005.56,49.17,768.14,51.25,17.74,55.11,1340.01,65.74,232.61,67.31,NA,NA,252.57,73.43,532.76,75.27,940.82,76.03,154.36,78.89,862.29,82.37,216.56,84.05,243.43,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15561bH*,G1069 2022-11-04 13-28-14-0306.xls,5278.91,17.26,1346.28,18.37,1367.03,25.75,278.49,27.58,659.62,29.43,257.98,31.8,682.08,37.26,52.34,38.04,1355.02,39.29,379.68,44.33,179.91,45.83,1177.15,47.11,889.25,49.17,485.42,51.27,12.58,55.12,841.93,65.8,90.74,67.37,NA,NA,176.82,73.49,290.2,75.34,670.27,76.1,92.9,78.96,533.08,82.45,195.49,84.13,174.01,87.06,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15561bH*,G1069 2022-11-04 13-28-14-0321.xls,6003.67,17.19,1531.16,18.29,1538.81,25.69,313.05,27.52,756.51,29.38,296.74,31.75,786.05,37.21,56.23,38.01,1503.05,39.26,434.58,44.33,241.25,45.82,1352.38,47.09,994.75,49.15,544.9,51.24,12.12,55.11,959.36,65.73,101.48,67.29,NA,NA,201.43,73.42,323.54,75.27,774.04,76.03,108.23,78.88,604.78,82.36,209.01,84.04,193.97,86.97,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15562bH*,G1069 2022-11-04 13-28-14-0407.xls,5928.9,17.25,1833.4,18.36,1441.82,25.74,363.17,27.57,588.08,29.42,250.01,31.79,653.79,37.25,37.78,38.02,1515.74,39.27,361.54,44.31,184.34,45.81,1223.85,47.09,879.1,49.15,642.67,51.25,15.93,55.13,832.13,65.81,100.65,67.38,NA,NA,203.7,73.49,300.37,75.34,716.61,76.1,121.65,78.96,537.61,82.45,242.2,84.13,213.35,87.05,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15562bH*,G1069 2022-11-04 13-28-14-0422.xls,6402.25,17.19,1975.16,18.29,1547.62,25.7,390.15,27.53,636.6,29.39,271.96,31.76,714.43,37.23,41.86,38.02,1608.2,39.26,389.02,44.33,215.94,45.82,1322.85,47.09,943.13,49.14,681.59,51.23,14.99,55.11,882.33,65.73,91.3,67.3,NA,NA,204.38,73.42,318.44,75.27,779.84,76.03,133.09,78.9,584.23,82.37,261.07,84.05,226.42,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15563bH*,G1069 2022-11-04 13-28-14-0508.xls,4333.38,17.24,1581,18.35,1545.44,25.75,335.16,27.58,856.45,29.43,333.85,31.81,880.21,37.27,79.36,38.06,2389.47,39.3,420.44,44.35,203.04,45.85,1544.8,47.13,883.44,49.19,700.12,51.29,20.91,55.19,1234.91,65.78,200.03,67.34,NA,NA,210.9,73.43,532.55,75.26,833.27,76.02,144.49,78.87,845.15,82.33,220.44,83.99,224.14,86.88,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15563bH*,G1069 2022-11-04 13-28-14-0523.xls,4888.24,17.19,1783.53,18.28,1736.17,25.69,375.79,27.52,969.75,29.38,378.89,31.76,1000.95,37.23,89.34,38.03,2615.06,39.27,481.7,44.35,137.46,45.85,1751.65,47.11,1020.51,49.17,785.13,51.26,23.81,55.16,1391.19,65.75,224.93,67.32,NA,NA,233.05,73.43,592.84,75.27,942.03,76.03,161.86,78.89,948.93,82.36,227.87,84.05,246.26,86.97,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15564bH*,G1069 2022-11-04 13-28-14-0609.xls,2803.29,17.24,1140.65,18.34,956.36,25.72,225.21,27.55,303.08,29.41,157.9,31.79,434.96,37.27,32.68,38.07,1132.96,39.32,201.54,44.39,124.18,45.86,819.8,47.17,881.15,49.23,401.9,51.33,9.62,55.18,696.31,65.82,75.71,67.38,NA,NA,143.65,73.49,289.85,75.33,469.76,76.08,85.53,78.92,431.18,82.38,126.9,84.06,136.7,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15564bH*,G1069 2022-11-04 13-28-14-0624.xls,3168.2,17.19,1289.54,18.28,1077.04,25.69,253.96,27.52,345.22,29.38,181.15,31.75,496.48,37.21,37.48,38,1255.44,39.24,234.8,44.3,135.21,45.78,943.53,47.07,1007.83,49.12,454.12,51.21,11.17,55.09,792.04,65.7,83.81,67.27,NA,NA,159.27,73.39,317.35,75.24,535.94,76,96.15,78.86,495.67,82.35,132,84.03,155.96,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15565bH*,G1069 2022-11-04 13-28-14-0710.xls,5365.7,17.24,2227.21,18.34,1377.01,25.73,335.26,27.56,474.27,29.42,264.27,31.79,593.32,37.27,26.93,38.03,1526.25,39.32,414.7,44.37,223.74,45.87,1185.79,47.15,844.75,49.2,571.04,51.3,18.79,55.15,821.11,65.76,27.49,67.32,NA,NA,167.81,73.46,325.24,75.31,866.6,76.07,105.33,78.93,625.85,82.42,174.95,84.11,195,87.03,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15565bH*,G1069 2022-11-04 13-28-14-0726.xls,5926.79,17.17,2457.97,18.26,1516.23,25.68,368.91,27.51,528.38,29.37,293.24,31.75,662.49,37.22,38.09,38.01,1552.44,39.24,460.53,44.3,205.85,45.82,1312.86,47.08,922.64,49.13,624.1,51.21,24.19,55.08,906.56,65.71,31.91,67.26,NA,NA,181.69,73.39,345.21,75.24,962.95,75.99,115.91,78.85,692.17,82.33,181.2,84.02,200.94,86.94,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15566bH*,G1069 2022-11-04 13-28-14-0811.xls,4168.01,17.23,1541.68,18.33,959.35,25.73,238.33,27.55,362.32,29.41,178.34,31.78,446.55,37.24,33.4,38.03,1072.09,39.28,193.38,44.33,140.43,45.85,835.46,47.1,868.89,49.16,420.24,51.25,18.31,55.14,564.24,65.76,51,67.33,NA,NA,141.21,73.44,204.38,75.27,448.95,76.03,74.86,78.87,353.98,82.34,146.68,84.01,141.39,86.93,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15566bH*,G1069 2022-11-04 13-28-14-0827.xls,4595.58,17.17,1699.69,18.25,1055.31,25.68,262.34,27.51,403.86,29.37,199.74,31.74,499.35,37.21,41.34,38,1114.59,39.23,211.66,44.29,310.23,46.11,923.7,47.06,960.33,49.11,457.04,51.19,23.39,55.09,625.82,65.7,55.71,67.26,NA,NA,149.13,73.38,218.85,75.23,499.23,75.99,81.5,78.84,393.33,82.32,160.97,83.99,153.04,86.92,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15567bH*,G1069 2022-11-04 13-28-14-0912.xls,4462.82,17.21,1590.84,18.32,1158.76,25.7,330.68,27.52,459.72,29.38,208.9,31.75,539.98,37.22,38.67,38.01,1290.77,39.24,390.87,44.28,197.36,45.79,1069.97,47.07,836.38,49.13,609.96,51.21,14.23,55.07,760.38,65.76,104.39,67.32,NA,NA,215.88,73.45,276.36,75.3,625.42,76.06,126.04,78.92,492.2,82.39,226.11,84.08,210.66,87.01,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15567bH*,G1069 2022-11-04 13-28-14-0928.xls,5103.83,17.16,1818.34,18.24,1319.46,25.67,376.18,27.5,524.64,29.37,239.08,31.74,620.73,37.21,49.06,38.01,1355.45,39.23,444.49,44.3,193.29,45.82,1222.23,47.07,947.81,49.12,687.41,51.21,19.9,55.06,868.34,65.71,118.29,67.27,NA,NA,239.91,73.4,320.44,75.25,715.68,76.01,147.15,78.87,565.01,82.35,255.93,84.03,237.29,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15568bH*,G1069 2022-11-04 13-28-14-1013.xls,4728.05,17.21,1821.07,18.32,1231.6,25.71,317.97,27.54,560.65,29.4,264.5,31.77,607.31,37.23,45.01,38.03,1540.75,39.26,448.1,44.31,232.5,45.81,1173.88,47.08,877.98,49.15,639.33,51.25,17.14,55.14,847.16,65.74,137.61,67.29,NA,NA,200.44,73.41,326.06,75.26,788.6,76.03,130.15,78.89,601.38,82.38,192.47,84.06,210.72,86.98,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15568bH*,G1069 2022-11-04 13-28-14-1029.xls,5732.11,17.16,2200.7,18.24,1477.18,25.68,380.61,27.51,687.09,29.37,317.9,31.75,742.33,37.22,66.43,38.02,1622.53,39.24,536.7,44.31,741.53,46.14,1415.21,47.07,1050.79,49.13,747.73,51.21,26.83,55.06,1008.53,65.71,167.12,67.28,NA,NA,231.97,73.4,396.05,75.25,946.31,76.01,154.73,78.87,730.44,82.35,223.84,84.03,246.44,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15569bH*,G1069 2022-11-04 13-28-14-1115.xls,11441.85,17.18,4225.33,18.29,2584.35,25.68,552.13,27.52,879.87,29.38,404.43,31.75,982.43,37.23,85.36,38.01,2411.02,39.25,948.4,44.31,318.92,45.8,1932.9,47.07,1041.89,49.14,849.19,51.22,45.96,55.12,1479.54,65.7,238.46,67.24,NA,NA,355.29,73.36,481.03,75.19,1091.69,75.96,166.02,78.8,897.27,82.28,299.34,83.95,281.24,86.86,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15569bH*,G1069 2022-11-04 13-28-14-1130.xls,13770.71,17.13,5079.08,18.23,3110.55,25.67,660.56,27.5,1084.81,29.36,484.72,31.74,1196.71,37.21,119.61,38.01,2654.43,39.24,1119.94,44.31,321.45,45.82,2338.9,47.07,1260.38,49.13,1009.12,51.21,35.8,55.08,1779.6,65.71,279.51,67.28,NA,NA,409.95,73.4,569.46,75.24,1316.29,76,194.93,78.87,1089.7,82.34,347.25,84.03,330.38,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15570bH*,G1069 2022-11-04 13-28-14-1216.xls,4733.81,17.2,1574.77,18.29,1169.73,25.69,260.5,27.51,726.1,29.37,273.27,31.75,590.72,37.22,52.53,38,1456.66,39.25,449.21,44.32,189.19,45.81,1108.09,47.08,886.03,49.13,530.05,51.22,26.78,55.12,786.53,65.72,118.99,67.28,NA,NA,193.85,73.4,292.92,75.25,672.4,76.02,104.08,78.86,551.49,82.34,173.94,84.01,188.54,86.93,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15570bH*,G1069 2022-11-04 13-28-14-1231.xls,5164.35,17.16,1725.76,18.24,1292.82,25.68,288.04,27.51,839.54,29.37,316.32,31.75,666.72,37.21,58.62,38,1653.34,39.23,517.26,44.3,209.25,45.8,1272.88,47.07,1025.66,49.12,602.16,51.21,23.95,55.11,870.66,65.7,137.89,67.27,NA,NA,209.34,73.4,335.47,75.25,758.2,76,117.99,78.87,623.4,82.35,182.71,84.04,207.96,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15571bH*,G1069 2022-11-04 13-28-14-1317.xls,8175.1,17.17,3136.75,18.27,1907.21,25.66,510.15,27.49,704.85,29.35,337.17,31.73,737.95,37.2,57.31,37.99,2123.27,39.23,866.32,44.3,482.08,45.79,1492.57,47.07,908.19,49.13,821.27,51.21,12.82,55.09,1076.71,65.71,205.15,67.27,NA,NA,299.62,73.39,422.27,75.24,911.99,76.01,186.52,78.86,721.12,82.33,315.52,84,284.43,86.92,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15571bH*,G1069 2022-11-04 13-28-14-1332.xls,9306.36,17.15,3572.71,18.24,2173.84,25.68,580.58,27.51,804.72,29.38,384.92,31.76,848.46,37.22,73.07,38.02,2268.07,39.25,987.75,44.31,441.92,45.81,1715.53,47.08,1043.34,49.13,935.84,51.22,21.89,55.08,1231.5,65.69,234.4,67.26,NA,NA,334.75,73.39,474.13,75.23,1046.12,75.99,210.33,78.86,828.27,82.34,330.27,84.03,322.4,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15572bH*,G1069 2022-11-04 13-28-14-1418.xls,4963.02,17.19,3075.16,18.27,1461.6,25.67,1174.13,27.49,48.58,29.36,22.61,31.97,45.14,37.22,55.72,38,2360.18,39.23,47.99,44.31,122.02,45.52,1442.66,47.06,1021.81,49.12,1498.56,51.2,44.36,55.03,982,65.7,176.37,67.25,NA,NA,767.92,73.37,361.54,75.23,717.84,75.99,229.36,78.84,644.4,82.31,566.69,83.98,515.24,86.9,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
15572bH*,G1069 2022-11-04 13-28-14-1433.xls,5539.24,17.16,3430.41,18.23,1637.03,25.68,1313.14,27.51,54.74,29.38,26.9,31.99,56.65,37.22,73.08,38.02,2399.7,39.25,53.47,44.31,118.52,45.54,1605.2,47.08,1125.63,49.13,1645.71,51.21,61.13,55.04,1097.89,65.69,191.25,67.27,NA,NA,826.81,73.39,394.72,75.25,821,75.99,255.95,78.86,731.35,82.34,618.41,84.03,564.52,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
LhArg bk 031122,G1069 2022-11-04 13-28-14-1534.xls,NA,NA,4.96,18.03,6.84,25.66,1313.14,27.5,14.69,29.37,NA,NA,56.65,37.23,NA,NA,46.95,39.24,NA,NA,NA,NA,18.01,47.07,1153.6,49.12,NA,NA,8.08,55.13,8.99,65.1,NA,NA,NA,NA,NA,NA,3.69,74.83,NA,NA,NA,NA,7.52,82.84,NA,NA,11.22,86.37,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
0.2 std,G1069 2022-11-04 13-28-14-9103.xls,4792.51,16.87,1006.26,18.07,3760.76,25.69,796.06,27.54,4922.31,29.38,1102.61,31.77,4842.61,37.28,2541.89,38.05,4928.4,39.37,5466.76,44.35,943.13,45.87,5160.84,47.16,670.38,49.2,1334.86,51.13,6546.84,55.05,5913.48,65.73,4850.61,67.16,1177.77,71.82,1327.18,73.49,5222.95,75.32,5781.63,76.09,1159.01,78.99,4457.42,82.46,1294.41,84.16,1066.78,87.09,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
0.2 std,G1069 2022-11-04 13-28-14-9125.xls,5188.94,16.84,1089.94,18.05,4055.4,25.64,862.16,27.5,5429.34,29.35,1229.54,31.75,5299.71,37.21,2770.1,37.94,5634.42,39.27,5957.1,44.29,1020.65,45.79,5762.97,47.06,683.16,49.12,1474.88,51.11,6978.62,55.09,6442.26,65.66,5272.82,67.08,1284.19,71.71,1441,73.37,5661.51,75.19,6270,75.94,1255.62,78.84,4887.47,82.3,1400.89,84.01,1154.14,86.93,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
1:1 std,G1069 2022-11-04 13-28-14-9314.xls,4201.36,16.86,4243.54,18.06,3134.03,25.65,3311.35,27.49,4360.49,29.35,4689.8,31.74,4219.5,37.22,2331.08,37.95,10494.09,39.52,6205.07,44.28,4282.92,45.78,4585.72,47.07,930.88,49.14,5167.39,51.11,5671.99,55.12,5244.44,65.72,4165.77,67.14,4690.74,71.75,5756.98,73.41,4729.96,75.26,5266.2,76.02,5214.38,78.88,4152.33,82.36,5543.49,84.04,4305.97,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1069.csv
