sample_name,file,l_asx_area,l_asx_meas_ret_time,d_asx_area,d_asx_meas_ret_time,l_glu_area,l_glu_meas_ret_time,d_glu_area,d_glu_meas_ret_time,l_ser_area,l_ser_meas_ret_time,d_ser_area,d_ser_meas_ret_time,l_thr_area,l_thr_meas_ret_time,l_his_area,l_his_meas_ret_time,gly_area,gly_meas_ret_time,l_arg_area,l_arg_meas_ret_time,d_arg_area,d_arg_meas_ret_time,l_ala_area,l_ala_meas_ret_time,lh_arg_area,lh_arg_meas_ret_time,d_ala_area,d_ala_meas_ret_time,l_tyr_area,l_tyr_meas_ret_time,l_val_area,l_val_meas_ret_time,l_met_area,l_met_meas_ret_time,d_met_area,d_met_meas_ret_time,d_val_area,d_val_meas_ret_time,l_phe_area,l_phe_meas_ret_time,l_ile_area,l_ile_meas_ret_time,d_phe_area,d_phe_meas_ret_time,l_leu_area,l_leu_meas_ret_time,d_ile_area,d_ile_meas_ret_time,d_leu_area,d_leu_meas_ret_time,x53,x54,x55,x56,x57,file_name
15574bF,G1067 2022-10-27 12-03-40-0609.xls,3219.75,18.05,2294.69,19.03,558.14,26.72,249.68,28.52,622.88,29.39,666.94,31.7,617.81,37.17,27.37,38.04,1423.72,39.2,498.18,44.4,431.03,45.87,1785.74,47.12,720.79,49.16,1427.79,51.32,32.95,55.22,731.91,65.8,17.55,67.11,NA,NA,411.61,73.37,294.62,75.19,521.72,76.03,234.24,78.78,613.95,82.28,342.2,83.98,440.31,86.85,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15574bF,G1067 2022-10-27 12-03-40-0636.xls,3406.79,17.98,2436.15,18.79,580.9,26.76,257.94,28.56,676.84,29.33,684.07,31.63,685.48,37.08,29.41,37.95,1367.26,39.06,538.86,44.23,433.78,45.72,1903.16,46.97,782.98,49.05,1528.17,51.18,82.14,55.15,801.78,65.81,46.1,67.17,NA,NA,442.9,73.44,327.72,75.24,563.5,76.11,250.13,78.84,632.44,82.36,371.58,84.08,491.6,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15575bF,G1067 2022-10-27 12-03-40-0710.xls,2041.37,18.03,1386.21,19,503.66,26.68,228.05,28.47,491.8,29.35,512.15,31.66,578.66,37.14,55.58,37.97,1072.23,39.15,245.93,44.37,214.53,45.84,1419.44,47.09,769.67,49.14,1145.46,51.28,55.71,55.18,495.21,65.74,161.9,67.19,NA,NA,274.16,73.32,280,75.11,499.34,75.96,202.17,78.68,547.51,82.2,320.3,83.91,372.83,86.79,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15575bF,G1067 2022-10-27 12-03-40-0737.xls,3467.1,17.95,2359.41,18.76,878.17,26.74,392.86,28.52,900.29,29.3,904.37,31.6,1041.26,37.06,86.92,37.89,1459.31,39.04,448.27,44.23,345.58,45.72,2475.6,46.96,1374.14,49.05,1993.21,51.19,99.91,55.16,803.61,65.8,284.52,67.27,NA,NA,442.2,73.43,487.23,75.23,816.77,76.1,367.72,78.83,950,82.35,474.32,84.07,648.68,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15576bF,G1067 2022-10-27 12-03-40-0811.xls,1593.18,18.02,1091.51,18.99,339.88,26.66,180.74,28.45,376.23,29.33,394.31,31.65,422.4,37.11,28.08,37.96,852.73,39.1,280.29,44.29,252.86,45.77,1098.27,47.02,705.89,49.07,952.37,51.2,23.9,55.11,403.66,65.7,NA,NA,NA,NA,282.41,73.28,214.37,75.08,341.91,75.94,184.94,78.66,412.42,82.17,294.93,83.88,335.38,86.75,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15576bF,G1067 2022-10-27 12-03-40-0838.xls,1693.6,17.97,1163.37,18.76,357.83,26.78,187.77,28.58,398.04,29.34,410.88,31.66,467.36,37.12,25.85,37.99,804.29,39.12,313.94,44.29,260.05,45.77,1188.85,47.02,771.03,49.09,1034.31,51.24,56.27,55.19,450.62,65.86,15.75,67.27,NA,NA,312.13,73.5,247.31,75.31,382.04,76.18,199.43,78.92,432.49,82.43,329.2,84.14,378.43,87.02,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15577bF,G1067 2022-10-27 12-03-40-0912.xls,1253.44,18.01,869.27,18.97,372.03,26.65,244.49,28.44,278.15,29.32,285.96,31.64,392.68,37.11,39.02,37.96,768.39,39.11,112.45,44.31,105.03,45.8,1151.56,47.05,805.35,49.09,1096.36,51.22,48.67,55.15,406.2,65.73,32.62,67.18,NA,NA,300.37,73.3,212.87,75.1,349.18,75.96,187.61,78.69,398.26,82.2,338.08,83.91,351.81,86.78,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15577bF,G1067 2022-10-27 12-03-40-0939.xls,1359.55,17.95,942.64,18.73,397.23,26.75,258.92,28.54,292.62,29.31,294.83,31.62,446.32,37.09,42.34,37.94,703.21,39.08,108.2,44.26,93.72,45.74,1217.34,46.99,866.36,49.06,1138.1,51.2,55.83,55.18,422.24,65.82,19.87,67.27,NA,NA,308.05,73.44,234.11,75.24,381.43,76.11,202.5,78.84,402.65,82.36,362.72,84.08,390.3,86.95,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15578bF,G1067 2022-10-27 12-03-40-1013.xls,2032.74,18.01,1431.39,18.97,436.49,26.66,255.2,28.45,377.75,29.33,391.57,31.65,418.73,37.12,45.63,37.95,1089.72,39.11,318.04,44.31,289.88,45.79,1205.46,47.03,770.24,49.08,1082.5,51.21,54.08,55.12,461.38,65.72,62.39,67.17,NA,NA,297.85,73.3,234.31,75.09,391.48,75.95,190.93,78.67,434.04,82.18,296.69,83.89,332.43,86.77,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
15578bF,G1067 2022-10-27 12-03-40-1040.xls,2133.6,17.94,1508.09,18.71,445.26,26.74,258.39,28.53,391.77,29.31,403.49,31.62,434.35,37.09,36.81,37.92,927.44,39.08,321.25,44.26,285.23,45.74,1253.73,46.99,778.4,49.07,1112.44,51.22,33.43,55.15,476.25,65.83,52.29,67.29,NA,NA,305.73,73.45,241.17,75.25,417.87,76.11,195.27,78.84,454.39,82.37,318.89,84.09,354.92,86.96,NA,NA,NA,NA,NA,/Users/tco/Desktop/Projects/UniKram/R/AAR-NN/data/amino/1067.csv
